ANIO;MES;CONGLOMERADO;MUESTRA;SELVIV;HOGAR;C201;REGION;ESTRATO;LLAVE_PANEL;C203;C204;C205;C206;C207;C208;C300n;NROINF;C301_DIA;C301_MES;C301_ANIO;C303;C304;C305;C306_1;C306_2;C306_3;C306_4;C306_5;C306_6;C306_7;C306_8;C306_9;C306_10;C306_10A;C306_11;C308_COD;C309_COD;C310;C311;C317;C317A;C318_1;C318_2;C318_3;C318_4;C318_5;C318_6;C318_7;whoraT;C330;C331;P209H;C335;C338;C339_1;C341_T;C342;C344;C345_1;C348;C347_T;C350;C352;C353;C354;C355;C356;C357_I;C358;C359;SEGURO1;C366;C366_1;C366_2;C375_1;C375_2;C375_3;C375_4;C375_5;C375_6;C376;C377;OCUP300;I339_1;D341_T;I342;D344;I345_1;I348;D347_T;D350;INGTOT;INGTOTP;RESIDENT;fa_fma23
2023;2;22441;1;22;1;2;1;1;2.02211E+17;2;1;2; ;2;45;2;2;22;8;1977;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;9411;5630;2; ;1;1;0;8;0;8;8;8;0;48;2;48;2;2; ; ; ;900;20; ;500; ;60; ; ; ; ; ; ; ;1;5;3; ;4;2;2;2;2;2;2;10;5;1; ; ;717;130; ;500; ;60;1407;847;1;517.2120782
2023;2;29201;1;19;1;1;1;1;2.02302E+17;1;1;2; ;2;55;1;1;5;8;1967;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;9411;5610;2; ;1;1;0;0;0;0;4;6;4;45;2;45;2;2; ; ; ;180;40; ;150; ;60; ; ; ; ; ; ; ;1;5;6;5; ;2;2;2;2;2;2;1;1;1; ; ;16;173; ;150; ;60;399;189;1;1004.241083
2023;2;23524;1;15;1;2;1;1;2.02202E+17;2;1;2; ;2;33;2;1;25;5;1989;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5211;4630;3;5;1;15;0;8;8;8;8;8;5;54;1; ;1;2;2;390; ; ; ; ;390; ;60; ; ; ; ; ; ; ;1;3;8;2; ;2;2;2;2;2;2;10;6;1;1689; ; ; ; ;390; ;60;2139;1689;1;683.881807
2023;2;2296302;1;56;1;3;1;1;2.02108E+19;3;1;2; ;2;30;3;3;26;10;1992;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2359;8542;1; ;1;3;0;3;3;3;3;3;3;25;1; ;1;2; ; ; ;1800; ; ;150; ;50; ; ; ; ; ; ; ;1;5;8;2; ;2;2;2;2;2;2;10;7;1; ; ;1690; ; ;150; ;50;1890;1690;1;684.149786
2023;2;1928101;1;41;1;1;1;1;2.02302E+19;1;1;2; ;2;46;1;1;27;12;1976;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5212;4761;2; ;1;2;5;10;10;10;10;10;11;69;1; ;2;2; ; ; ;500; ; ;150; ;50; ; ; ; ; ; ; ;1;1;6;5; ;2;2;2;2;2;2;1;1;1; ; ;900; ; ;150; ;50;1100;900;1;1034.424156
2023;2;20843;1;23;1;2;1;1;2.02108E+17;2;1;2; ;2;63;2;2;16;8;1959;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5212;4711;2; ;1;2;9;9;9;9;9;9;13;97;1; ;2;2; ; ; ;800;400; ;100; ;50; ; ; ; ; ; ; ;1;1;6;5; ;2;2;2;2;2;2;1;7;1; ; ;800;400; ;100; ;50;1350;1200;1;517.4147477
2023;2;2296302;1;55;1;3;1;1;2.02108E+19;3;1;2; ;2;34;3;3;1;9;1988;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3122;2220;3;5;4;300;12;8;12;0;12;12;12;74;1; ;2;1;4;1800;132; ; ; ;50; ;50; ; ; ; ; ; ; ;1;1;11;5; ;2;2;2;2;2;2;10;7;1;1800;572; ; ; ;50; ;50;2472;2372;1;684.149786
2023;2;47331;1;8;1;1;1;1;2.02302E+17;1;1;2; ;2;53;1;1;5;7;1969;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3221;8730;3;5;1;10;0;8;8;8;8;8;8;96;1; ;2;2;4;1000; ; ; ; ;800; ;50; ; ; ; ; ; ; ;1;6;9;3; ;2;2;2;2;2;2;10;7;1;1000; ; ; ; ;800; ;50;1850;1000;1;1004.241083
2023;2;24693;1;39;1;1;1;1;2.02108E+17;1;1;2; ;2;61;1;1;7;8;1961;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5120;5610;2; ;1;1;0;8;8;8;8;8;8;104;1; ;2;2; ; ; ;2000;520; ;90; ;40; ; ; ; ; ; ; ;1;1;6;5; ;2;2;2;2;2;2;10;7;1; ; ;1678;520; ;90; ;40;2328;2198;1;517.4147477
2023;2;28474;1;21;1;1;1;1;2.02302E+17;1;1;2; ;2;53;1;1;6;10;1969;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5213;4781;3;5;1;3;0;6;6;2;6;8;6;92;1; ;2;2;1;30;8; ; ; ;600; ;40; ; ; ; ; ; ; ;1;5;6;5; ;2;2;2;2;2;2;10;7;1;900;240; ; ; ;600; ;40;1780;1140;1;1034.829495
